trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-03-24,0.989041095890411,3500.0,call,463.9,3934.8486,0.02,0.0,IO2603C3500,7.0,361,3934.8486,,
2025-03-24,0.989041095890411,3500.0,put,106.2,3934.8486,0.02,0.0,IO2603P3500,341.0,361,3934.8486,,
2025-03-24,0.989041095890411,3600.0,call,288.6,3934.8486,0.02,0.0,IO2603C3600,0.0,361,3934.8486,,
2025-03-24,0.989041095890411,3600.0,put,137.3,3934.8486,0.02,0.0,IO2603P3600,22.0,361,3934.8486,,
2025-03-24,0.989041095890411,3700.0,call,347.0,3934.8486,0.02,0.0,IO2603C3700,4.0,361,3934.8486,,
2025-03-24,0.989041095890411,3700.0,put,177.7,3934.8486,0.02,0.0,IO2603P3700,6.0,361,3934.8486,,
2025-03-24,0.989041095890411,3800.0,call,287.0,3934.8486,0.02,0.0,IO2603C3800,2.0,361,3934.8486,,
2025-03-24,0.989041095890411,3800.0,put,228.3,3934.8486,0.02,0.0,IO2603P3800,6.0,361,3934.8486,,
2025-03-24,0.989041095890411,3900.0,call,254.20000000000002,3934.8486,0.02,0.0,IO2603C3900,44.0,361,3934.8486,,
2025-03-24,0.989041095890411,3900.0,put,280.70000000000005,3934.8486,0.02,0.0,IO2603P3900,38.0,361,3934.8486,,
2025-03-24,0.989041095890411,4000.0,call,206.2,3934.8486,0.02,0.0,IO2603C4000,29.0,361,3934.8486,,
2025-03-24,0.989041095890411,4000.0,put,341.1,3934.8486,0.02,0.0,IO2603P4000,32.0,361,3934.8486,,
2025-03-24,0.989041095890411,4100.0,call,179.2,3934.8486,0.02,0.0,IO2603C4100,3.0,361,3934.8486,,
2025-03-24,0.989041095890411,4100.0,put,408.2,3934.8486,0.02,0.0,IO2603P4100,8.0,361,3934.8486,,
2025-03-24,0.989041095890411,4200.0,call,161.7,3934.8486,0.02,0.0,IO2603C4200,42.0,361,3934.8486,,
2025-03-24,0.989041095890411,4200.0,put,478.4,3934.8486,0.02,0.0,IO2603P4200,1.0,361,3934.8486,,
2025-03-24,0.989041095890411,4300.0,call,55.0,3934.8486,0.02,0.0,IO2603C4300,0.0,361,3934.8486,,
2025-03-24,0.989041095890411,4300.0,put,552.8,3934.8486,0.02,0.0,IO2603P4300,1.0,361,3934.8486,,
2025-03-24,0.989041095890411,4400.0,call,116.4,3934.8486,0.02,0.0,IO2603C4400,181.0,361,3934.8486,,
2025-03-24,0.989041095890411,4400.0,put,628.4,3934.8486,0.02,0.0,IO2603P4400,3.0,361,3934.8486,,
2025-03-25,0.9863013698630136,3500.0,call,470.4,3932.2951,0.02,0.0,IO2603C3500,1.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3500.0,put,102.9,3932.2951,0.02,0.0,IO2603P3500,51.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3600.0,call,348.6,3932.2951,0.02,0.0,IO2603C3600,0.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3600.0,put,133.5,3932.2951,0.02,0.0,IO2603P3600,10.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3700.0,call,348.7,3932.2951,0.02,0.0,IO2603C3700,4.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3700.0,put,173.5,3932.2951,0.02,0.0,IO2603P3700,7.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3800.0,call,298.5,3932.2951,0.02,0.0,IO2603C3800,5.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3800.0,put,224.1,3932.2951,0.02,0.0,IO2603P3800,6.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3900.0,call,258.2,3932.2951,0.02,0.0,IO2603C3900,29.0,360,3932.2951,,
2025-03-25,0.9863013698630136,3900.0,put,276.1,3932.2951,0.02,0.0,IO2603P3900,7.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4000.0,call,219.2,3932.2951,0.02,0.0,IO2603C4000,6.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4000.0,put,338.0,3932.2951,0.02,0.0,IO2603P4000,0.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4100.0,call,173.2,3932.2951,0.02,0.0,IO2603C4100,4.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4100.0,put,392.6,3932.2951,0.02,0.0,IO2603P4100,1.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4200.0,call,152.8,3932.2951,0.02,0.0,IO2603C4200,2.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4200.0,put,470.4,3932.2951,0.02,0.0,IO2603P4200,4.0,360,3932.2951,,
2025-03-25,0.9863013698630136,4300.0,call,126.19999999999999,3932.2951,0.02,0.0,IO2603C4300,9.0,360,3932.2951,,
