date,rv_minute,n_observations,n_returns,annualized_vol
2023-01-03,1.115458748664031e-05,61,60,5.301845005876123
2023-01-04,8.1733491636468e-06,61,60,4.538374146364526
2023-01-05,1.0715771567375925e-05,61,60,5.1965127104421995
2023-01-06,6.296537759211035e-06,61,60,3.9833748446777903
2023-01-09,9.833974699860903e-06,61,60,4.978113723454847
2023-01-10,3.862033709342639e-06,61,60,3.1196674418186707
2023-01-11,9.301181996250557e-06,61,60,4.841381892657448
2023-01-12,5.883575548573321e-06,61,60,3.8505337788941376
2023-01-13,7.110987131016033e-06,61,60,4.23316519523635
2023-01-16,3.337910474319248e-05,61,60,9.171441759769564
2023-01-17,8.25625530420793e-06,61,60,4.561333507495805
2023-01-18,7.915278676559195e-06,61,60,4.4661507212508145
2023-01-19,6.910267515362775e-06,61,60,4.172993426632037
2023-01-20,6.073452157627723e-06,61,60,3.91217323711794
2023-01-30,9.693469378154478e-06,61,60,4.942422769548279
2023-01-31,1.1341836645359533e-05,61,60,5.346160149706145
2023-02-01,1.2887466826527301e-05,61,60,5.698808331822434
2023-02-02,1.658510354271792e-05,61,60,6.464863566050652
2023-02-03,1.290650370479528e-05,61,60,5.703015810611444
2023-02-06,1.1919820338508124e-05,61,60,5.4806885747176395
2023-02-07,1.0431308912179684e-05,61,60,5.1270750393077735
2023-02-08,7.743761618184727e-06,61,60,4.4174969471212435
2023-02-09,1.0124206100006038e-05,61,60,5.0510394348109395
2023-02-10,4.402880214152141e-06,61,60,3.3309545388166732
2023-02-13,1.3402642882248346e-05,61,60,5.811597032078689
2023-02-14,4.814295136356584e-06,61,60,3.4831054740875405
2023-02-15,4.421274543720055e-06,61,60,3.3379053087489674
2023-02-16,1.1228943922839917e-05,61,60,5.319486693803886
2023-02-17,1.6356128419660255e-05,61,60,6.4200812781104135
2023-02-20,1.3563058853562518e-05,61,60,5.846273027406225
2023-02-21,9.175895086890282e-06,61,60,4.808664639893649
2023-02-22,5.990159833184636e-06,61,60,3.8852545321542684
2023-02-23,1.5598143401250237e-05,61,60,6.269555117482467
2023-02-24,9.916331899815836e-06,61,60,4.998915521144152
2023-02-27,1.4835299811468606e-05,61,60,6.114323799481092
2023-02-28,5.28375932835932e-06,61,60,3.648982530441258
2023-03-01,1.9713529533361715e-05,61,60,7.048268895556661
2023-03-02,1.0326687996519028e-05,61,60,5.101299221887298
2023-03-03,6.518420165284247e-06,61,60,4.052951864569366
2023-03-06,1.4877274422320229e-05,61,60,6.12296754394852
2023-03-07,2.034586449535198e-05,61,60,7.160417482820885
2023-03-08,1.1090582302308418e-05,61,60,5.286612091104965
2023-03-09,1.0138400538446476e-05,61,60,5.054579048435697
2023-03-10,1.4279093457651333e-05,61,60,5.998609464974476
2023-03-13,2.0565351157112862e-05,61,60,7.198936373932223
2023-03-14,1.597285690481679e-05,61,60,6.344414819361854
2023-03-15,8.361920111443214e-06,61,60,4.590429030149241
2023-03-16,1.3457967996360328e-05,61,60,5.823579599424054
2023-03-17,8.578834799216538e-06,61,60,4.649587475682727
2023-03-20,1.4077199260970853e-05,61,60,5.956050884407095
2023-03-21,8.218130452060414e-06,61,60,4.5507899027742695
2023-03-22,5.305575304664773e-06,61,60,3.656507865129682
2023-03-23,8.450507601913992e-06,61,60,4.614680829355726
2023-03-24,6.509773683634975e-06,61,60,4.050262915263667
2023-03-27,9.079962589502712e-06,61,60,4.78346168852086
2023-03-28,6.8860668033011185e-06,61,60,4.165679817787106
2023-03-29,7.274234921185408e-06,61,60,4.281480118065157
2023-03-30,7.428326514672806e-06,61,60,4.326590206730407
2023-03-31,8.860807667716725e-06,61,60,4.7253820292804
2023-04-03,8.497030888251262e-06,61,60,4.627366188059162
2023-04-04,1.0196267665929621e-05,61,60,5.068983578405304
2023-04-06,3.434408043365757e-06,61,60,2.9418885548711233
2023-04-07,5.4617322455690305e-06,61,60,3.7099279317574294
2023-04-10,6.848103881824314e-06,61,60,4.154181240894199
2023-04-11,8.574199677938976e-06,61,60,4.64833122619357
2023-04-12,6.218081078104519e-06,61,60,3.9584800513357887
2023-04-13,7.491547599511319e-06,61,60,4.344962594864141
2023-04-14,9.385744441632197e-06,61,60,4.863340003836163
2023-04-17,6.862156213284119e-06,61,60,4.1584412533395225
2023-04-18,8.359182214452017e-06,61,60,4.58967745930137
2023-04-19,4.0580454394005e-06,61,60,3.197854672634336
2023-04-20,7.1684759285333605e-06,61,60,4.250242268377659
2023-04-21,1.2502342983725636e-05,61,60,5.613012054056949
2023-04-24,1.0066198097636583e-05,61,60,5.036548342470684
2023-04-25,2.1520505101098917e-05,61,60,7.364215698549932
2023-04-26,2.4951720718089066e-05,61,60,7.9295861310401605
